tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
600x600,conjunto 10,6,284799,488,"494,50"
600x600,conjunto 10,7,283387,481,"494,50"
600x600,conjunto 10,8,280317,487,"494,50"
600x600,conjunto 10,9,288877,483,"494,50"
600x600,conjunto 10,10,287482,489,"494,50"
600x600,conjunto 14,1,370806,533,"540,10"
600x600,conjunto 14,2,355601,532,"540,10"
600x600,conjunto 14,3,353525,531,"540,10"
600x600,conjunto 14,4,338863,534,"540,10"
600x600,conjunto 14,5,350009,534,"540,10"
600x600,conjunto 14,6,362978,535,"540,10"
600x600,conjunto 14,7,369042,534,"540,10"
600x600,conjunto 14,8,365390,534,"540,10"
600x600,conjunto 14,9,358341,532,"540,10"
600x600,conjunto 14,10,356164,534,"540,10"
600x600,conjunto 18,1,463277,558,"562,00"
600x600,conjunto 18,2,419829,558,"562,00"
600x600,conjunto 18,3,427153,558,"562,00"
600x600,conjunto 18,4,447870,557,"562,00"
600x600,conjunto 18,5,429262,559,"562,00"
600x600,conjunto 18,6,429887,558,"562,00"
600x600,conjunto 18,7,426705,558,"562,00"
600x600,conjunto 18,8,451836,557,"562,00"
600x600,conjunto 18,9,437073,558,"562,00"
600x600,conjunto 18,10,438628,559,"562,00"
600x600,conjunto 20,1,462234,566,"569,90"
600x600,conjunto 20,2,469585,566,"569,90"
600x600,conjunto 20,3,473823,565,"569,90"
600x600,conjunto 20,4,481676,566,"569,90"
600x600,conjunto 20,5,499764,567,"569,90"
600x600,conjunto 20,6,490804,567,"569,90"
600x600,conjunto 20,7,486749,568,"569,90"
600x600,conjunto 20,8,477406,566,"569,90"
600x600,conjunto 20,9,497539,565,"569,90"
600x600,conjunto 20,10,455160,566,"569,90"
600x600,conjunto 24,1,553797,576,"577,30"
600x600,conjunto 24,2,560652,576,"577,30"
600x600,conjunto 24,3,535118,577,"577,30"
600x600,conjunto 24,4,562045,577,"577,30"
600x600,conjunto 24,5,560792,576,"577,30"
600x600,conjunto 24,6,281320,577,"577,30"
600x600,conjunto 24,7,531240,577,"577,30"
600x600,conjunto 24,8,570145,578,"577,30"
600x600,conjunto 24,9,550952,577,"577,30"
